No,Fecha de registro,departamento revisado,municipio revisado,Cultivo,Variedad o hibrido,Edad del cultivo (AÑOS),"Parte de la planta a analizar (toda la planta, parte aérea, raíz, tubérculo, tallo, hoja, flor, fruto, semilla)","Sintomatología (tamaño, color, deformación)",Fertilizantes aplicados anteriormente,"Rendimiento del cultivo (bueno, regular, malo)",Nitrógeno (N) % STD,Fósforo (P) % STD,Potasio (K) % STD,Calcio (Ca) % STD,Magnesio (Mg) % STD,Sodio (Na) % STD,Azufre (S) % STD,Hierro (Fe) mg/kg STD,Cobre (Cu) mg/kg STD,Manganeso (Mn) mg/kg STD,Zinc (Zn) mg/kg STD,Boro (B) mg/kg STD,_depto_norm,_cultivo_norm
"3,790",2019 Mar 06 12:00:00 AM,CÓRDOBA,MONTERÍA,ARROZ,FEDEARROZ 70,NO INDICA,RAIZ,NO INDICA,UREA,NO INDICA,0.59,0.09,1.1,0.7,0.26,0.06,0.3,21082.89,65.56,328.62,125.35,20.34,CORDOBA,Arroz
"3,791",2019 Mar 06 12:00:00 AM,CÓRDOBA,MONTERÍA,ARROZ,FEDEARROZ 70,NO INDICA,RAIZ,NO INDICA,UREA,NO INDICA,0.58,0.18,1.13,0.31,0.21,0.05,0.19,21124.27,69.27,297.05,124.59,18.95,CORDOBA,Arroz
"3,792",2019 Mar 06 12:00:00 AM,CÓRDOBA,MONTERÍA,ARROZ,FEDEARROZ 70,NO INDICA,RAIZ,NO INDICA,UREA,NO INDICA,0.67,0.16,1.02,0.26,0.18,0.07,0.25,16706.34,77.46,315.76,123.11,16.33,CORDOBA,Arroz
"3,793",2019 Mar 06 12:00:00 AM,CÓRDOBA,MONTERÍA,ARROZ,FEDEARROZ 70,NO INDICA,RAIZ,NO INDICA,UREA,NO INDICA,0.53,0.19,1.16,0.27,0.17,0.07,0.19,21670.78,72.06,363.87,111.06,21.11,CORDOBA,Arroz
"3,794",2019 Mar 06 12:00:00 AM,CÓRDOBA,MONTERÍA,ARROZ,FEDEARROZ 70,NO INDICA,RAIZ,NO INDICA,UREA,NO INDICA,0.55,0.18,2.6,0.31,0.21,0.06,0.16,23979.64,62.68,352.52,125.64,16.17,CORDOBA,Arroz
"3,795",2019 Mar 06 12:00:00 AM,CÓRDOBA,MONTERÍA,ARROZ,FEDEARROZ 70,NO INDICA,RAIZ,NO INDICA,UREA,NO INDICA,0.53,0.18,2.45,0.36,0.26,0.06,0.14,31396.78,64.67,387.11,125.93,13.86,CORDOBA,Arroz
"3,796",2019 Mar 06 12:00:00 AM,CÓRDOBA,MONTERÍA,ARROZ,FEDEARROZ 70,NO INDICA,RAIZ,NO INDICA,UREA,NO INDICA,0.43,0.19,2.38,0.31,0.23,0.06,0.19,24202.94,69.4,357.74,124.19,20.34,CORDOBA,Arroz
"3,797",2019 Mar 06 12:00:00 AM,CÓRDOBA,MONTERÍA,ARROZ,FEDEARROZ 70,NO INDICA,RAIZ,NO INDICA,UREA,NO INDICA,0.55,0.17,2.09,0.32,0.22,0.05,0.17,20105.11,67.64,353.63,115.44,16.17,CORDOBA,Arroz
"3,798",2019 Mar 06 12:00:00 AM,CÓRDOBA,MONTERÍA,ARROZ,FEDEARROZ 70,NO INDICA,RAIZ,NO INDICA,UREA,NO INDICA,0.51,0.17,2.25,0.31,0.21,0.04,0.16,22151.64,69.03,369.7,118.89,15.25,CORDOBA,Arroz
"3,799",2019 Mar 06 12:00:00 AM,CÓRDOBA,MONTERÍA,ARROZ,FEDEARROZ 70,NO INDICA,HOJAS,NO INDICA,UREA,NO INDICA,1.82,0.18,2.57,0.49,0.07,,0.15,821.94,7.91,624.17,22.19,15.71,CORDOBA,Arroz
"3,800",2019 Mar 06 12:00:00 AM,CÓRDOBA,MONTERÍA,ARROZ,FEDEARROZ 70,NO INDICA,HOJAS,NO INDICA,UREA,NO INDICA,1.54,0.26,1.68,0.45,0.2,,0.13,698.56,6.71,612.12,23.14,16.63,CORDOBA,Arroz
"3,801",2019 Mar 06 12:00:00 AM,CÓRDOBA,MONTERÍA,ARROZ,FEDEARROZ 70,NO INDICA,HOJAS,NO INDICA,UREA,NO INDICA,1.7,0.24,1.64,0.53,0.21,,0.15,582.94,6.78,872.99,21.93,16.63,CORDOBA,Arroz
"3,802",2019 Mar 06 12:00:00 AM,CÓRDOBA,MONTERÍA,ARROZ,FEDEARROZ 70,NO INDICA,HOJAS,NO INDICA,UREA,NO INDICA,1.51,0.23,1.81,0.5,0.21,,0.13,407.22,5.75,1650.53,20.46,27.13,CORDOBA,Arroz
"3,803",2019 Mar 06 12:00:00 AM,CÓRDOBA,MONTERÍA,ARROZ,FEDEARROZ 70,NO INDICA,HOJAS,NO INDICA,UREA,NO INDICA,1.53,0.24,1.75,0.49,0.2,,0.12,751.06,5.8,1434.86,20.32,13.55,CORDOBA,Arroz
"3,804",2019 Mar 06 12:00:00 AM,CÓRDOBA,MONTERÍA,ARROZ,FEDEARROZ 70,NO INDICA,HOJAS,NO INDICA,UREA,NO INDICA,1.57,0.26,1.9,0.54,0.23,,0.14,568.15,6.9,1692.86,21.84,14.01,CORDOBA,Arroz
"3,805",2019 Mar 06 12:00:00 AM,CÓRDOBA,MONTERÍA,ARROZ,FEDEARROZ 70,NO INDICA,HOJAS,NO INDICA,UREA,NO INDICA,1.47,0.26,1.61,0.5,0.23,,0.14,583.8,6.39,727.78,23.81,15.4,CORDOBA,Arroz
"3,806",2019 Mar 06 12:00:00 AM,CÓRDOBA,MONTERÍA,ARROZ,FEDEARROZ 70,NO INDICA,HOJAS,NO INDICA,UREA,NO INDICA,1.86,0.23,1.64,0.49,0.21,,0.14,572.98,7.25,903.29,22.39,16.02,CORDOBA,Arroz
"3,807",2019 Mar 06 12:00:00 AM,CÓRDOBA,MONTERÍA,ARROZ,FEDEARROZ 70,NO INDICA,HOJAS,NO INDICA,UREA,NO INDICA,1.47,0.25,1.62,0.56,0.2,,0.13,438.23,5.67,1812.59,18.48,13.7,CORDOBA,Arroz
"3,808",2019 Mar 06 12:00:00 AM,CÓRDOBA,MONTERÍA,ARROZ,FEDEARROZ 70,NO INDICA,TALLOS,NO INDICA,UREA,NO INDICA,0.81,0.25,2.29,0.09,0.18,,0.12,375.8,10.81,529.36,52.55,5.68,CORDOBA,Arroz
"3,809",2019 Mar 06 12:00:00 AM,CÓRDOBA,MONTERÍA,ARROZ,FEDEARROZ 70,NO INDICA,TALLOS,NO INDICA,UREA,NO INDICA,0.61,0.21,2.26,0.08,0.16,,0.1,410.39,8.67,489.05,49.53,5.37,CORDOBA,Arroz
"3,810",2019 Mar 06 12:00:00 AM,CÓRDOBA,MONTERÍA,ARROZ,FEDEARROZ 70,NO INDICA,TALLOS,NO INDICA,UREA,NO INDICA,0.61,0.19,2.29,0.09,0.16,0.03,0.11,315.3,10.11,699.87,55.39,5.68,CORDOBA,Arroz
"3,811",2019 Mar 06 12:00:00 AM,CÓRDOBA,MONTERÍA,ARROZ,FEDEARROZ 70,NO INDICA,TALLOS,NO INDICA,UREA,NO INDICA,0.73,0.24,2.27,0.09,0.15,0.04,0.1,385.72,9.53,842.33,46.96,5.52,CORDOBA,Arroz
"3,812",2019 Mar 06 12:00:00 AM,CÓRDOBA,MONTERÍA,ARROZ,FEDEARROZ 70,NO INDICA,TALLOS,NO INDICA,UREA,NO INDICA,0.53,0.27,2.31,0.08,0.15,0.04,0.09,574.51,8.95,717.26,46.33,4.75,CORDOBA,Arroz
"3,813",2019 Mar 06 12:00:00 AM,CÓRDOBA,MONTERÍA,ARROZ,FEDEARROZ 70,NO INDICA,TALLOS,NO INDICA,UREA,NO INDICA,0.73,0.23,2.29,0.08,0.17,0.03,0.1,308.22,9.42,867.05,43.09,5.37,CORDOBA,Arroz
"3,814",2019 Mar 06 12:00:00 AM,CÓRDOBA,MONTERÍA,ARROZ,FEDEARROZ 70,NO INDICA,TALLOS,NO INDICA,UREA,NO INDICA,0.61,0.24,2.27,0.09,0.19,,0.1,511.08,10.26,474.01,43.74,5.06,CORDOBA,Arroz
"3,815",2019 Mar 06 12:00:00 AM,CÓRDOBA,MONTERÍA,ARROZ,FEDEARROZ 70,NO INDICA,TALLOS,NO INDICA,UREA,NO INDICA,0.63,0.23,2.49,0.1,0.19,,0.11,634.84,14.04,626.14,51.2,5.22,CORDOBA,Arroz
"3,816",2019 Mar 06 12:00:00 AM,CÓRDOBA,MONTERÍA,ARROZ,FEDEARROZ 70,NO INDICA,TALLOS,NO INDICA,UREA,NO INDICA,0.55,0.23,2.39,0.09,0.17,,0.1,402.08,11.39,732.8,47.26,5.06,CORDOBA,Arroz
"3,817",2019 Mar 06 12:00:00 AM,CÓRDOBA,MONTERÍA,ARROZ,FEDEARROZ 70,NO INDICA,PANÍCULAS,NO INDICA,UREA,NO INDICA,0.97,0.29,0.75,0.08,0.11,,0.09,432.27,6.87,247.3,30.06,11.54,CORDOBA,Arroz
"3,818",2019 Mar 06 12:00:00 AM,CÓRDOBA,MONTERÍA,ARROZ,FEDEARROZ 70,NO INDICA,PANÍCULAS,NO INDICA,UREA,NO INDICA,0.93,0.18,0.71,0.06,0.1,,0.07,189.72,5.38,185.67,23.23,11.54,CORDOBA,Arroz
"3,819",2019 Mar 06 12:00:00 AM,CÓRDOBA,MONTERÍA,ARROZ,FEDEARROZ 70,NO INDICA,PANÍCULAS,NO INDICA,UREA,NO INDICA,1.12,0.15,0.78,0.08,0.12,,0.09,358.63,6.33,280.28,30.26,12.47,CORDOBA,Arroz
"3,820",2019 Mar 06 12:00:00 AM,CÓRDOBA,MONTERÍA,ARROZ,FEDEARROZ 70,NO INDICA,PANÍCULAS,NO INDICA,UREA,NO INDICA,1.07,0.16,0.85,0.07,0.13,,0.08,422.25,5.71,354.37,27.14,9.69,CORDOBA,Arroz
"3,821",2019 Mar 06 12:00:00 AM,CÓRDOBA,MONTERÍA,ARROZ,FEDEARROZ 70,NO INDICA,PANÍCULAS,NO INDICA,UREA,NO INDICA,1.03,0.15,0.7,0.07,0.13,,0.08,867.48,6.07,333.98,26.61,6.45,CORDOBA,Arroz
"3,822",2019 Mar 06 12:00:00 AM,CÓRDOBA,MONTERÍA,ARROZ,FEDEARROZ 70,NO INDICA,PANÍCULAS,NO INDICA,UREA,NO INDICA,0.92,0.18,0.72,0.07,0.11,,0.08,162.15,5.98,428.56,28.1,9.38,CORDOBA,Arroz
"3,823",2019 Mar 06 12:00:00 AM,CÓRDOBA,MONTERÍA,ARROZ,FEDEARROZ 70,NO INDICA,PANÍCULAS,NO INDICA,UREA,NO INDICA,1.0,0.23,0.67,0.06,0.09,,0.08,125.12,5.41,209.44,24.39,9.07,CORDOBA,Arroz
"3,824",2019 Mar 06 12:00:00 AM,CÓRDOBA,MONTERÍA,ARROZ,FEDEARROZ 70,NO INDICA,PANÍCULAS,NO INDICA,UREA,NO INDICA,1.07,0.34,0.71,0.06,0.09,,0.08,175.73,5.87,296.89,24.91,12.01,CORDOBA,Arroz
"3,825",2019 Mar 06 12:00:00 AM,CÓRDOBA,MONTERÍA,ARROZ,FEDEARROZ 70,NO INDICA,PANÍCULAS,NO INDICA,UREA,NO INDICA,1.09,0.51,0.71,0.06,0.08,,0.08,196.81,5.85,353.06,24.37,7.53,CORDOBA,Arroz
"3,911",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.64,0.08,2.04,1.2,0.11,,0.11,59.07,11.02,144.39,8.48,18.66,MAGDALENA,Mango
"3,912",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.94,0.1,1.98,0.93,0.13,,0.12,58.04,2.97,114.42,9.59,14.91,MAGDALENA,Mango
"3,913",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.61,0.12,1.84,1.03,0.23,,0.12,183.08,3.52,77.22,10.62,49.43,MAGDALENA,Mango
"3,914",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.66,0.08,1.76,1.15,0.11,,0.12,67.76,32.0,266.16,15.2,38.62,MAGDALENA,Mango
"3,915",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.27,0.09,1.62,1.36,0.11,,0.12,69.23,54.79,148.0,18.7,28.42,MAGDALENA,Mango
"3,916",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.45,0.08,1.54,1.21,0.1,,0.11,66.64,37.3,213.46,8.29,19.11,MAGDALENA,Mango
"3,917",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.49,0.1,2.33,1.44,0.14,,0.14,70.02,170.51,171.11,44.04,15.21,MAGDALENA,Mango
"3,918",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.52,0.1,2.26,1.62,0.09,,0.14,68.29,169.27,184.52,46.38,23.92,MAGDALENA,Mango
"3,919",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.71,0.09,2.17,0.73,0.22,,0.1,104.37,2.73,50.5,8.75,65.49,MAGDALENA,Mango
"3,920",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.68,0.1,2.08,0.94,0.16,,0.12,137.79,533.61,35.55,100.85,107.74,MAGDALENA,Mango
"3,921",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.71,0.1,1.98,0.73,0.19,,0.12,91.58,22.78,34.5,12.59,75.4,MAGDALENA,Mango
"3,922",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.46,0.1,1.81,1.09,0.14,,0.11,78.58,63.65,55.72,18.65,61.74,MAGDALENA,Mango
"3,923",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.3,0.1,1.85,0.84,0.12,,0.09,53.57,5.54,114.42,12.63,40.88,MAGDALENA,Mango
"3,924",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.49,0.1,1.71,1.15,0.1,,0.11,74.33,3.26,124.8,9.14,69.54,MAGDALENA,Mango
"3,925",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.53,0.11,1.66,0.99,0.16,,0.11,88.9,3.3,130.65,11.13,63.84,MAGDALENA,Mango
"3,926",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.35,0.1,0.58,0.85,0.13,,0.1,67.04,5.25,169.0,10.5,57.24,MAGDALENA,Mango
"3,927",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.34,0.1,0.55,1.55,0.18,,0.13,61.99,3.68,251.55,11.22,55.13,MAGDALENA,Mango
"3,928",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.48,0.1,0.4,1.39,0.16,,0.13,61.21,1.84,95.95,12.56,91.37,MAGDALENA,Mango
"3,929",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.45,0.11,0.34,1.05,0.11,,0.12,46.83,242.72,112.55,62.91,54.98,MAGDALENA,Mango
"3,930",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.37,0.08,0.67,1.13,0.18,,0.11,75.66,5.2,121.07,14.71,42.68,MAGDALENA,Mango
"3,931",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.38,0.09,0.64,1.24,0.21,,0.12,81.48,7.17,105.55,10.86,54.68,MAGDALENA,Mango
"3,932",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.43,0.11,0.34,1.12,0.13,,0.11,61.3,91.9,124.12,31.59,70.74,MAGDALENA,Mango
"3,933",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.31,0.11,0.56,1.18,0.21,,0.11,89.4,5.5,98.65,11.25,57.54,MAGDALENA,Mango
"3,934",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.3,0.1,0.6,1.24,0.17,,0.11,85.92,4.19,165.8,13.62,66.24,MAGDALENA,Mango
"3,935",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.33,0.13,0.71,0.34,0.12,,0.1,75.61,2.23,38.73,15.02,13.56,MAGDALENA,Mango
"3,936",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.37,0.13,0.72,0.17,0.1,,0.08,87.34,,22.95,11.75,15.36,MAGDALENA,Mango
"3,937",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.57,0.15,0.83,0.31,0.14,,0.1,244.61,4.65,20.48,16.44,14.01,MAGDALENA,Mango
"3,938",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.75,0.13,0.72,0.24,0.09,,0.1,78.29,,26.89,12.27,14.46,MAGDALENA,Mango
"3,939",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.61,0.15,0.79,0.24,0.11,,0.1,91.09,,91.41,19.15,16.26,MAGDALENA,Mango
"3,940",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.57,0.16,1.0,0.37,0.11,,0.09,168.29,2.58,42.43,16.54,13.86,MAGDALENA,Mango
"3,941",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.43,0.14,0.83,0.22,0.09,,0.1,153.29,3.37,33.96,13.66,15.51,MAGDALENA,Mango
"3,942",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.53,0.13,0.84,0.46,0.11,,0.09,180.27,3.58,44.46,23.3,14.46,MAGDALENA,Mango
"3,943",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.6,0.13,0.82,0.32,0.1,,0.1,258.48,4.45,34.07,12.54,19.56,MAGDALENA,Mango
"3,944",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.42,0.15,0.8,0.19,0.15,,0.09,143.38,,19.58,12.05,21.96,MAGDALENA,Mango
"3,945",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.83,0.12,0.92,0.2,0.12,,0.1,211.24,5.53,12.84,14.05,15.06,MAGDALENA,Mango
"3,946",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.46,0.12,0.75,0.16,0.12,,0.09,193.47,5.17,11.9,13.13,16.11,MAGDALENA,Mango
"3,947",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.53,0.17,0.9,0.36,0.12,,0.1,58.29,7.87,41.62,23.2,14.46,MAGDALENA,Mango
"3,948",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.45,0.15,0.85,0.49,0.14,,0.1,40.87,6.4,38.34,15.61,17.16,MAGDALENA,Mango
"3,949",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.58,0.21,0.95,0.33,0.1,,0.12,38.13,3.18,51.56,15.18,17.31,MAGDALENA,Mango
"3,950",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.61,0.17,0.84,0.29,0.12,,0.11,49.61,8.82,72.13,21.87,18.36,MAGDALENA,Mango
"3,951",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.49,0.17,0.73,0.42,0.12,,0.11,78.42,3.81,56.4,19.87,16.41,MAGDALENA,Mango
"3,952",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.65,0.15,0.8,0.27,0.08,,0.09,83.0,1.71,45.63,18.95,17.16,MAGDALENA,Mango
"3,953",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.54,0.17,0.79,0.35,0.09,,0.1,88.34,3.73,32.05,16.35,18.51,MAGDALENA,Mango
"3,954",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.79,0.19,0.78,0.37,0.12,,0.1,75.7,1.8,75.83,22.87,19.56,MAGDALENA,Mango
"3,955",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.45,0.18,0.81,0.49,0.14,,0.11,79.15,6.81,40.15,16.83,18.36,MAGDALENA,Mango
"3,956",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.68,0.19,0.93,0.54,0.16,,0.12,61.01,10.1,28.97,21.78,19.86,MAGDALENA,Mango
"3,957",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.58,0.19,0.87,0.56,0.17,,0.13,63.67,9.61,39.37,21.61,20.01,MAGDALENA,Mango
"3,958",2019 Mar 20 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.5,0.19,0.79,0.45,0.14,,0.12,56.41,7.65,32.76,16.35,18.21,MAGDALENA,Mango
"4,071",2019 Apr 30 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.88,0.13,0.54,2.99,0.21,,0.19,45.76,3.04,208.7,15.93,9.97,MAGDALENA,Mango
"4,072",2019 Apr 30 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.83,0.14,0.75,2.22,0.23,,0.17,53.71,2.08,137.48,12.26,16.89,MAGDALENA,Mango
"4,073",2019 Apr 30 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.64,0.14,0.58,2.49,0.26,,0.18,44.1,2.47,203.14,17.31,19.56,MAGDALENA,Mango
"4,074",2019 Apr 30 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.37,0.12,0.53,3.03,0.18,,0.21,67.01,2.89,236.65,18.34,15.78,MAGDALENA,Mango
"4,075",2019 Apr 30 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.69,0.13,0.55,2.62,0.19,,0.21,98.94,45.87,174.17,11.28,24.9,MAGDALENA,Mango
"4,076",2019 Apr 30 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.56,0.13,0.67,2.16,0.21,,0.19,78.95,45.02,231.01,10.57,16.41,MAGDALENA,Mango
"4,077",2019 Apr 30 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.37,0.13,0.69,2.87,0.19,,0.19,40.88,10.27,213.4,9.55,21.13,MAGDALENA,Mango
"4,078",2019 Apr 30 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.45,0.14,0.89,2.92,0.22,,0.19,51.49,54.47,177.52,9.78,21.29,MAGDALENA,Mango
"4,079",2019 Apr 30 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.64,0.16,0.7,1.51,0.39,,0.16,70.99,2.37,60.83,6.6,78.99,MAGDALENA,Mango
"4,080",2019 Apr 30 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.64,0.13,0.52,1.86,0.33,,0.17,59.69,11.25,52.37,9.92,121.48,MAGDALENA,Mango
"4,081",2019 Apr 30 12:00:00 AM,MAGDALENA,SANTA MARTA,MANGO,AZUCAR,NO INDICA,HOJAS,NO INDICA,NO INDICA,BUENO,1.64,0.17,1.06,2.24,0.33,,0.18,55.63,5.8,37.66,8.97,73.48,MAGDALENA,Mango
